,name,image
84,Bohemian Shepherd,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/IRLUKA_KROSANDRA_%281%29.jpg/400px-IRLUKA_KROSANDRA_%281%29.jpg
85,Bolognese,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Bolo%C5%84czyk_5e3.jpg/400px-Bolo%C5%84czyk_5e3.jpg
86,Border Collie,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Border_Collie_600.jpg/400px-Border_Collie_600.jpg
87,Border Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Border_Terrier.jpg/400px-Border_Terrier.jpg
88,Borzoi,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Borzoi_female.jpg/400px-Borzoi_female.jpg
89,Bosnian Coarse-haired Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/BIR_Grupp_6-_BOSANSKI_OSTRODLAKI_GONIC-BARAK%2C_Sandy_%2823866392689%29.jpg/400px-BIR_Grupp_6-_BOSANSKI_OSTRODLAKI_GONIC-BARAK%2C_Sandy_%2823866392689%29.jpg
90,Boston Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/BostonTerrierBrindleStand_w.jpg/400px-BostonTerrierBrindleStand_w.jpg
91,Bouvier des Ardennes,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Bouvier_des_Ardennes.JPG/400px-Bouvier_des_Ardennes.JPG
92,Bouvier des Flandres,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Bouvier.JPG/400px-Bouvier.JPG
93,Boxer,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Male_fawn_Boxer_undocked.jpg/400px-Male_fawn_Boxer_undocked.jpg
94,Boykin Spaniel,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Boykin_spaniel.jpg/400px-Boykin_spaniel.jpg
95,Bracco Italiano,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Giotto_BI.jpg/400px-Giotto_BI.jpg
96,Braque d'Auvergne,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Braque_d_Auvergne.jpg/400px-Braque_d_Auvergne.jpg
97,Braque de l'Ariege,https://upload.wikimedia.org/wikipedia/commons/f/fa/Pointer_of_Ariege_from_1915.JPG
98,Braque du Bourbonnais,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Braque_du_Bourbonnais.jpg/400px-Braque_du_Bourbonnais.jpg
99,Braque du Puy,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Dupuy_Pointer_from_1915.JPG/400px-Dupuy_Pointer_from_1915.JPG
100,Braque Francais,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Wy%C5%BCe%C5%82_pirenejski_308.jpg/400px-Wy%C5%BCe%C5%82_pirenejski_308.jpg
101,Braque Saint-Germain,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Braque_saint-germain_666.jpg/400px-Braque_saint-germain_666.jpg
102,Briard,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Briard_fauve.JPG/400px-Briard_fauve.JPG
103,Briquet Griffon Vendéen,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Briquet_Griffon_Vendeen.jpg/400px-Briquet_Griffon_Vendeen.jpg
104,Brittany,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Epagneul_Breton.jpg/400px-Epagneul_Breton.jpg
105,Broholmer,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Male_Broholmer.jpg/400px-Male_Broholmer.jpg
